Symbol,Name,Price,Change,Market Cap,PE Ratio
SCHW,The Charles Schwab Corporation,49.06,1.33,88945000000.0,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.32,-0.05,89208000000.0,28.18
CB,Chubb Limited,199.6,-1.79,82668000000.0,15.85
HSBC,HSBC Holdings plc,37.5,0.05,151233000000.0,6.8
MS,Morgan Stanley,82.29,-0.34,139246000000.0,14.31
SPGI,S&P Global Inc.,357.76,-2.54,114768000000.0,43.68
MS-PI,Morgan Stanley,24.85,-0.03,66271000000.0,3.16
WFC-PQ,Wells Fargo & Company,25.0,1.44,200937000000.0,5.17
HSBC,HSBC Holdings plc,37.5,0.05,151193000000.0,6.79
MS,Morgan Stanley,82.29,-0.34,139238000000.0,14.31
C,Citigroup Inc.,45.39,-0.64,89055000000.0,6.28
TD,The Toronto-Dominion Bank,60.66,-0.23,111937000000.0,9.9
BX,Blackstone Inc.,82.97,-0.31,98850000000.0,101.18
SCHW,The Charles Schwab Corporation,49.07,1.34,88990000000.0,13.34
GS-PK,"The Goldman Sachs Group, Inc.",24.46,0.07,63275000000.0,0.47
WFC-PR,Wells Fargo & Company,25.24,0.51,186010000000.0,5.22
C-PJ,Citigroup Inc.,25.33,0.13,143782000000.0,2.98
MS,Morgan Stanley,82.29,-0.35,139246000000.0,14.31
HDB,HDFC Bank Limited,67.78,0.65,126147000000.0,26.17
C,Citigroup Inc.,45.39,-0.64,89020000000.0,6.28
AXP,American Express Company,147.86,-0.13,110356000000.0,15.61
BLK,"BlackRock, Inc.",650.79,8.77,98472000000.0,20.37
SCHW,The Charles Schwab Corporation,49.06,1.33,88972000000.0,13.33
IBN,ICICI Bank Limited,22.92,-0.03,80086000000.0,19.59
