Symbol,Name,Price,Change,Market Cap,PE Ratio
PNC,"The PNC Financial Services Group, Inc.",111.1,-1.6,45517000000.0,7.69
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.16,0.05,43009000000.0,5.97
PYPL,"PayPal Holdings, Inc.",61.96,-2.22,72289000000.0,35.2
CME,CME Group Inc.,184.43,0.96,67006000000.0,23.65
MCO,Moody's Corporation,308.97,0.02,56995000000.0,41.47
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.39,-0.02,56617000000.0,9.13
ITUB,Itaú Unibanco Holding S.A.,5.41,-0.03,53065000000.0,9.02
BN,Brookfield Corporation,30.27,-0.93,49499000000.0,25.44
AJG,Arthur J. Gallagher & Co.,216.99,0.18,46489000000.0,40.11
USB,U.S. Bancorp,29.13,0.21,45480000000.0,7.94
PNC,"The PNC Financial Services Group, Inc.",111.14,-1.56,45542000000.0,7.7
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.16,0.04,43009000000.0,5.97
MET-PA,"MetLife, Inc.",21.98,0.22,42691000000.0,2.82
PYPL,"PayPal Holdings, Inc.",61.96,-2.22,72283000000.0,35.2
CME,CME Group Inc.,184.38,0.9,66986000000.00001,23.64
ICE,"Intercontinental Exchange, Inc.",108.28,0.07,60622000000.0,41.81
UBS,UBS Group AG,19.15,-0.04,59515000000.0,9.87
MCO,Moody's Corporation,309.11,0.16,56995000000.0,41.47
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.39,-0.02,56590000000.0,9.12
BN,Brookfield Corporation,30.27,-0.93,49491000000.0,25.44
PNC,"The PNC Financial Services Group, Inc.",111.14,-1.56,45538000000.0,7.7
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.16,0.04,42980000000.0,5.97
MET-PE,"MetLife, Inc.",23.79,0.04,42184000000.0,3.05
ICE,"Intercontinental Exchange, Inc.",108.31,0.1,60622000000.0,41.81
MCO,Moody's Corporation,309.11,0.16,57021000000.0,41.49
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.4,-0.01,56590000000.0,9.12
BMO,Bank of Montreal,87.42,-0.09,61771000000.0,5.86
BN,Brookfield Corporation,30.25,-0.95,49475000000.0,25.43
USB,U.S. Bancorp,29.16,0.24,45496000000.0,7.94
PNC,"The PNC Financial Services Group, Inc.",111.18,-1.52,45538000000.0,7.7
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.16,0.04,42985000000.0,5.97
TRV,"The Travelers Companies, Inc.",181.84,-0.97,42240000000.0,15.5
